District,School,City,Grade Level,Expenditures Per Pupil
A.C.G.C. PUBLIC SCHOOL DISTRICT,,GROVE CITY,,"12,426.00"
A.C.G.C. PUBLIC SCHOOL DISTRICT,A.C.G.C. ELEMENTARY,ATWATER,Elementary,"12,613.00"
A.C.G.C. PUBLIC SCHOOL DISTRICT,A.C.G.C. SECONDARY,GROVE CITY,High,"13,606.00"
A.C.G.C. PUBLIC SCHOOL DISTRICT,ACGC ELEMENTARY GRADES 5 AND 6,GROVE CITY,Middle,"9,121.00"
ACADEMIA CESAR CHAVEZ CHARTER SCHOOL,,SAINT PAUL,,"14,606.00"
ACADEMIA CESAR CHAVEZ CHARTER SCHOOL,ACADEMIA CESAR CHAVEZ CHTR School,SAINT PAUL,Elementary,"14,606.00"
ACADEMIC ARTS HIGH SCHOOL,,WEST SAINT PAUL,,"20,116.00"
ACADEMIC ARTS HIGH SCHOOL,ACADEMIC ARTS HIGH School,WEST SAINT PAUL,High,"20,116.00"
ACHIEVE LANGUAGE ACADEMY,,SAINT PAUL,,"14,603.00"
ACHIEVE LANGUAGE ACADEMY,ACHIEVE LANGUAGE ACADEMY,SAINT PAUL,Elementary,"14,603.00"
ADA-BORUP PUBLIC SCHOOL DISTRICT,,ADA,,"12,575.00"
ADA-BORUP PUBLIC SCHOOL DISTRICT,ADA ELEMENTARY,ADA,Elementary,"11,219.00"
ADA-BORUP PUBLIC SCHOOL DISTRICT,ADA-BORUP SECONDARY,ADA,High,"13,788.00"
ADRIAN PUBLIC SCHOOL DISTRICT,,ADRIAN,,"11,856.00"
ADRIAN PUBLIC SCHOOL DISTRICT,ADRIAN ELEMENTARY,ADRIAN,Elementary,"11,938.00"
ADRIAN PUBLIC SCHOOL DISTRICT,ADRIAN MIDDLE,ADRIAN,Middle,"8,657.00"
ADRIAN PUBLIC SCHOOL DISTRICT,ADRIAN SECONDARY,ADRIAN,High,"14,223.00"
AFSA HIGH SCHOOL,,VADNAIS HEIGHTS,,"16,727.00"
AFSA HIGH SCHOOL,AFSA HIGH School,VADNAIS HEIGHTS,High,"16,622.00"
AFSA HIGH SCHOOL,AFSA MIDDLE School,MAPLEWOOD,Middle,"17,553.00"
AGAMIM CLASSICAL ACADEMY,,HOPKINS,,"13,101.00"
AGAMIM CLASSICAL ACADEMY,AGAMIM CLASSICAL ACADEMY,HOPKINS,Elementary,"13,101.00"
AITKIN PUBLIC SCHOOL DISTRICT,,AITKIN,,"11,546.00"
