"","GNIS","Name","CTU_Type","County","FIPS_Code","Sym_Class","Population","Notes","geometry"
"1",2393879,"Ada","City","Norman County","2710700172","County Seat",1681,NA,c(234154.5631, 5244399.2142)
"2",2393881,"Adams","City","Mower County","2709900190","Small City",742,NA,c(522688.7657, 4823619.9223)
"3",2393884,"Adrian","City","Nobles County","2710500262","Small City",1278,NA,c(263380.5384, 4835333.2631)
"4",2393887,"Afton","City","Washington County","2716300316","Small City",2932,NA,c(517105.75, 4972173.5)
"5",2393894,"Aitkin","City","Aitkin County","2700100460","County Seat",2279,NA,c(445850.8176, 5153095.7519)
"6",2393895,"Akeley","City","Hubbard County","2705700496","Small City",397,NA,c(368630.1755, 5206679.5039)
"7",2393898,"Albany","City","Stearns County","2714500622","Small City",2618,NA,c(377751.7449, 5053988.5789)
"8",2393902,"Albert Lea","City","Freeborn County","2704700694","County Seat",17843,NA,c(470674.278, 4833589.6173)
"9",2393903,"Alberta","City","Stevens County","2714900676","Small City",122,NA,c(262241.7813, 5051160.5)
"10",2393904,"Albertville","City","Wright County","2717100730","Small City",7226,NA,c(448655.0938, 5009573.5)
"11",2393910,"Alden","City","Freeborn County","2704700838","Small City",643,NA,c(453578.4063, 4835413.5)
"12",2393913,"Aldrich","City","Wadena County","2715900892","Small City",68,NA,c(350833.9477, 5137490.1241)
"13",2393918,"Alexandria","City","Douglas County","2704100928","County Seat",11614,NA,c(315547.875, 5084049.5)
"14",2393928,"Alpha","City","Jackson County","2706301162","Small City",269,NA,c(349029.5438, 4833524.5055)
"15",2393941,"Altura","City","Winona County","2716901234","Small City",474,NA,c(584927.1875, 4880380)
"16",2393942,"Alvarado","City","Marshall County","2708901252","Small City",444,NA,c(202877.0164, 5345471.2646)
"17",2393945,"Amboy","City","Blue Earth County","2701301324","Small City",520,NA,c(406971.6281, 4860069.6794)
"18",2393954,"Andover","City","Anoka County","2700301486","Small City",31553,NA,c(477149.4063, 5008912)
"19",2393962,"Annandale","City","Wright County","2717101684","Small City",3296,NA,c(411804.1875, 5012757)
"20",2393964,"Anoka","City","Anoka County","2700301720","County Seat",17244,NA,c(469608.3125, 5004994.5)
"21",2393967,"Apple Valley","City","Dakota County","2703701900","Small City",50309,NA,c(482777.9375, 4953196)
"22",2393968,"Appleton","City","Swift County","2715101864","Small City",1540,NA,c(262839.2188, 5009264.5)
"23",2393977,"Arco","City","Lincoln County","2708101972","Small City",116,NA,c(246426.5156, 4919410.5)
"24",2393979,"Arden Hills","City","Ramsey County","2712302026","Small City",9797,NA,c(487684.875, 4988548)
"25",2393982,"Argyle","City","Marshall County","2708902134","Small City",569,NA,c(216865.3281, 5360345)
"26",2393985,"Arlington","City","Sibley County","2714302152","Small City",2181,NA,c(414279.2813, 4940010)
"27",2393997,"Ashby","City","Grant County","2705102422","Small City",473,NA,c(282335.44, 5108239.6094)
"28",2394004,"Askov","City","Pine County","2711502548","Small City",370,NA,c(516806.4063, 5114811)
