URL,Headline,Content_Pubdate,Content_Subtitle,Content_Wrapper
https://www.mprnews.org/story/2023/08/22/minnesota-school-districts-are-struggling-to-find-teachers-fill-open-positions,"Minnesota school districts are struggling to find teachers, fill open positions","August 23, 2023 6:35 AM",NA,NA
https://www.mprnews.org/episode/2023/08/11/helping-teachers-in-minnesota-thrive,Helping teachers in Minnesota thrive,"August 14, 2023 1:42 PM",NA,NA
https://www.mprnews.org/story/2023/11/21/minneota-teacher-contract-deals-remain-elusive,Teacher contract deals remain elusive in most Minnesota districts,"November 21, 2023 4:00 AM",NA,NA
https://www.mprnews.org/episode/2023/08/21/minnesotas-teacher-of-the-year-on-building-community-with-students,Minnesota’s Teacher of the Year: 'Make students feel like they matter',"August 22, 2023 11:20 AM",NA,NA
https://www.mprnews.org/story/2023/11/15/minnesota-teachers-learn-new-ways-to-bring-nature-into-the-classroom,Minnesota teachers learn new ways to bring nature into the classroom,"November 15, 2023 4:00 AM",NA,NA
https://www.mprnews.org/story/2023/09/28/teachers-union-advocacy-groups-warn-of-extremist-school-board-candidates,"Teachers union, advocacy groups warn of ‘extremist’ school board candidates","September 28, 2023 6:31 PM",NA,NA
https://www.mprnews.org/story/2022/07/11/sahan-three-minnesota-teachers-of-color-reveal-why-they-quit,Three Minnesota teachers of color reveal why they quit,"July 11, 2022 12:35 PM",NA,NA
https://www.mprnews.org/story/2022/07/11/sahan-minnesotas-2020-teacher-of-the-year-leaves-the-classroom,Minnesota’s 2020 Teacher of the Year leaves the classroom,"July 11, 2022 11:52 AM",NA,NA
https://www.mprnews.org/story/2023/11/30/minneapolis-teachers-union-backs-off-israelhamas-statement,Minneapolis teachers union backs off Israel-Hamas statement,"November 30, 2023 7:01 PM",NA,NA
https://www.mprnews.org/story/2023/07/19/with-federal-threat-looming-minnesota-proposes-new-plan-for-special-education-teachers,"With federal threat looming, Minnesota proposes new plan for special education teachers","July 19, 2023 5:41 PM",NA,NA
https://www.mprnews.org/episode/2023/07/11/minnesotas-special-ed-teachers-are-out-of-compliance-and-at-risk-of-losing-funding,Minnesota's special ed teachers are out of compliance — and at risk of losing funding,"July 11, 2023 1:54 PM",NA,NA
https://www.mprnews.org/story/2022/03/11/what-minneapolis-teachers-are-asking-for-and-why-the-district-says-it-cant-afford-it,"What Minneapolis teachers are asking for, and why the district says it can’t afford it","March 11, 2022 4:00 AM",NA,NA
