abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person
"The Trump administration is highlighting the struggles that Minneapolis and St. Paul face with disparities in school discipline, and putting a thumb on the scale.",https://www.nytimes.com/2018/03/18/us/politics/school-discipline-disparities-white-black-students.html,"The Trump administration is highlighting the struggles that Minneapolis and St. Paul face with disparities in school discipline, and putting a thumb on the scale.","MINNEAPOLIS — When Erin Rathke, the principal at Justice Page Middle School, is called to extract a student from class, she hears the same plea over and over again, most often, she has to admit, from black children: “The teacher only sees me.”",A,10,The New York Times,2018-03-18T18:04:06+0000,article,Washington,U.S.,Politics,News,nyt://article/9e40d0b3-981e-5d08-956e-f299df1b9c45,1850,nyt://article/9e40d0b3-981e-5d08-956e-f299df1b9c45,Why Are Black Students Punished So Often? Minnesota Confronts a National Quandary,NA,NA,Minneapolis Schools Look Hard at a Racial Discipline Gap,NA,NA,NA,By Erica L. Green,
"The families of 21 people killed or injured in a shooting rampage last year at Red Lake High School reached a $1 million settlement with the school district that, if approved by the courts, would end civil litigation related to the matter. Jeff Weise, 16, fatally shot five students, a teacher and a security guard at the school before committing suicide in March 2005. The victims’ families, along with those who were wounded, would share $900,000 under the settlement, with $100,000 set aside for five years in case of additional claims. “The settlement is best for everyone because it provides these highly deserving families some measure of compensation for their losses and allows the school district to return all of its focus to education,” Philip Sieff, a lawyer who negotiated the deal, said.",https://www.nytimes.com/2006/07/21/us/21brfs-001.html,"The families of 21 people killed or injured in a shooting rampage last year at Red Lake High School reached a $1 million settlement with the school district that, if approved by the courts, would end civil litigation related to the matter. Jeff We...","The families of 21 people killed or injured in a shooting rampage last year at Red Lake High School reached a $1 million settlement with the school district that, if approved by the courts, would end civil litigation related to the matter. Jeff Weise, 16, fatally shot five students, a teacher and a security guard at the school before committing suicide in March 2005. The victims’ families, along with those who were wounded, would share $900,000 under the settlement, with $100,000 set aside for five years in case of additional claims. “The settlement is best for everyone because it provides these highly deserving families some measure of compensation for their losses and allows the school district to return all of its focus to education,” Philip Sieff, a lawyer who negotiated the deal, said.",A,17,The New York Times,2006-07-21T04:00:00+0000,article,National,U.S.,NA,News,nyt://article/82bf6367-3339-5eba-b7fa-abec2a6497dd,133,nyt://article/82bf6367-3339-5eba-b7fa-abec2a6497dd,Settlement Reached in Minnesota School Shooting Case,NA,NA,MINNESOTA: SETTLEMENT IN SCHOOL SHOOTING CASE,NA,NA,NA,By Jodi Rudoren,
"Minnesota Education Dept says it accidentally inflated standardized test scores for some elementary students; reading scores for third and fifth graders were 6 percent higher than they should have been, and math scores were 3 percent higher (S)",https://www.nytimes.com/2004/03/11/us/national-briefing-midwest-minnesota-test-scores-miscalculated.html,"Minnesota Education Dept says it accidentally inflated standardized test scores for some elementary students; reading scores for third and fifth graders were 6 percent higher than they should have been, and math scores were 3 percent higher (S)","The State Department of Education said it had accidentally inflated standardized test scores for some elementary students. Reading scores for third and fifth graders were 6 percent higher than they should have been, and math scores were 3 percent higher. School officials said the department used the wrong scale to determine which students had scored above the proficient mark on the Minnesota Comprehensive Assessment. Jo Napolitano (NYT)",A,25,The New York Times,2004-03-11T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/d30b7316-f1da-5c50-9756-31e5073612d3,126,nyt://article/d30b7316-f1da-5c50-9756-31e5073612d3,National Briefing | Midwest: Minnesota: Test Scores Miscalculated,NA,NA,National Briefing | Midwest: Minnesota: Test Scores Miscalculated,NA,NA,NA,By Jo Napolitano (NYT),
"Mohammed Abdullah Warsame, Canadian of Somali descent who is student in Minneapolis, is charged in federal indictment with providing material support to Al Qaeda and attending terrorist training camp in Afghanistan; he was arrested in New York last month as material witness (S)",https://www.nytimes.com/2004/01/22/us/national-briefing-midwest-minnesota-terror-indictment.html,"Mohammed Abdullah Warsame, Canadian of Somali descent who is student in Minneapolis, is charged in federal indictment with providing material support to Al Qaeda and attending terrorist training camp in Afghanistan; he was arrested in New York las...","A student in Minneapolis who the authorities said attended a terrorist training camp in Afghanistan, was charged in a federal indictment with providing material support to Al Qaeda. The student, Mohammed Abdullah Warsame, 30, a Canadian of Somali descent, is scheduled to be returned to Minnesota from New York to face a charge of terrorism that could result in up to 15 years in prison. Mr. Warsame was arrested last month as a material witness. News reports in Minneapolis indicated that he might have known Zacarias Moussaoui, the only person charged in connection with the Sept. 11 attacks. Law enforcement officials would not comment on any link between the two. Eric Lichtblau (NYT)",A,16,The New York Times,2004-01-22T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/3012930c-ae24-5007-8d0c-66525754afb6,175,nyt://article/3012930c-ae24-5007-8d0c-66525754afb6,National Briefing | Midwest: Minnesota: Terror Indictment,NA,NA,National Briefing | Midwest: Minnesota: Terror Indictment,NA,NA,NA,By Eric Lichtblau (NYT),
"A temple with a $9.5 million price tag had its final consecration Sunday in Maple Grove, Minn., and is intended to serve Hindus across the upper Midwest.",https://www.nytimes.com/2009/06/29/us/29hindu.html,"A temple with a $9.5 million price tag had its final consecration Sunday in Maple Grove, Minn., and is intended to serve Hindus across the upper Midwest.","MAPLE GROVE, Minn.  Amid the soybean fields and silos on the outskirts of this town, a testament to the Hindu faith, a 43,000-square-foot temple, has risen. ",A,14,The New York Times,2009-06-29T03:38:53+0000,article,National,U.S.,NA,News,nyt://article/75a4e933-4a8d-5bd6-899a-aba5f7afc409,659,nyt://article/75a4e933-4a8d-5bd6-899a-aba5f7afc409,"In Minnesota, Big Moment for a Temple for Hindus",NA,NA,"In Minnesota, Big Moment For a Temple For Hindus",NA,NA,NA,By Christina Capecchi,
"The families of 21 people killed or injured in a shooting rampage last year at Red Lake High School reached a $1 million settlement with the school district that, if approved by the courts, would end civil litigation related to the matter. Jeff Weise, 16, fatally shot five students, a teacher and a security guard at the school before committing suicide in March 2005. The victims' families, along with those who were wounded, would share $900,000 under the settlement, with $100,000 set aside for five years in case of additional claims. ''The settlement is best for everyone because it provides these highly deserving families some measure of compensation for their losses and allows the school district to return all of its focus to education,'' Philip Sieff, a lawyer who negotiated the deal, said.    JODI RUDOREN (NYT)  ",https://www.nytimes.com/2006/07/21/us/settlement-reached-in-minnesota-school-shooting-case.html,"The families of 21 people killed or injured in a shooting rampage last year at Red Lake High School reached a $1 million settlement with the school district that, if approved by the courts, would end civil litigation related to the matter. Jeff We...","The families of 21 people killed or injured in a shooting rampage last year at Red Lake High School reached a $1 million settlement with the school district that, if approved by the courts, would end civil litigation related to the matter. Jeff Weise, 16, fatally shot five students, a teacher and a security guard at the school before committing suicide in March 2005. The victims' families, along with those who were wounded, would share $900,000 under the settlement, with $100,000 set aside for five years in case of additional claims. ""The settlement is best for everyone because it provides these highly deserving families some measure of compensation for their losses and allows the school district to return all of its focus to education,"" Philip Sieff, a lawyer who negotiated the deal, said.",A,17,The New York Times,2006-07-21T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/bee3e2c4-4b91-559f-a4df-b890edce2123,140,nyt://article/bee3e2c4-4b91-559f-a4df-b890edce2123,Settlement Reached in Minnesota School Shooting Case,NA,NA,National Briefing | Midwest: Minnesota: Settlement In School Shooting Case,NA,NA,NA,By Jodi Rudoren (NYT),
"Gov Tim Pawlenty calls for return of death penalty in Minnesota, citing arrest of sex offender in kidnapping of Dru Sjodin in North Dakota (S)",https://www.nytimes.com/2003/12/04/us/national-briefing-midwest-minnesota-pushing-for-capital-punishment.html,"Gov Tim Pawlenty calls for return of death penalty in Minnesota, citing arrest of sex offender in kidnapping of Dru Sjodin in North Dakota (S)","Gov. Tim Pawlenty, citing the arrest of a sex offender in the disappearance of a college student in North Dakota, said he would call for the return of the death penalty. Minnesota abolished capital punishment more than 90 years ago. Alfonso Rodriguez Jr., 50, of Pequot Lakes, was charged on Monday with kidnapping Dru Sjodin, a student at the University of North Dakota. She has not been found. Jo Napolitano (NYT)",A,28,The New York Times,2003-12-04T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/b076b79e-8609-51bf-9bfe-9543b0aaa8ce,73,nyt://article/b076b79e-8609-51bf-9bfe-9543b0aaa8ce,National Briefing | Midwest: Minnesota: Pushing For Capital Punishment,NA,NA,National Briefing | Midwest: Minnesota: Pushing For Capital Punishment,NA,NA,NA,By Jo Napolitano (NYT),
Minnesota’s largest school district has agreed to sweeping changes designed to prevent the harassment of gay students in a plan that federal officials call a national model.,https://www.nytimes.com/2012/03/07/education/minnesota-district-reaches-pact-on-antigay-bullying.html,Minnesota’s largest school district has agreed to sweeping changes designed to prevent the harassment of gay students in a plan that federal officials call a national model.,"After years of accusations that it had failed to stop antigay bullying and a spate of student suicides, Minnesota’s largest school district has agreed to sweeping changes designed to prevent harassment based on sexual orientation in a plan that federal officials call a national model. ",A,11,The New York Times,2012-03-06T18:55:39+0000,article,National,Education,NA,News,nyt://article/94067765-2364-5664-8e1c-4ebf319a2e14,637,nyt://article/94067765-2364-5664-8e1c-4ebf319a2e14,Minnesota School District Reaches Agreement on Preventing Gay Bullying,NA,NA,Minnesota School District Reaches Agreement on Preventing Gay Bullying,NA,NA,NA,By Erik Eckholm,
"Gov. Mark Dayton pledged to veto an education funding bill, saying that the increase in school spending was not enough to serve the needs of Minnesota children.",https://www.nytimes.com/2015/05/20/us/a-vow-to-veto-a-schools-bill-in-minnesota.html,"Gov. Mark Dayton pledged to veto an education funding bill, saying that the increase in school spending was not enough to serve the needs of Minnesota children.",A visibly frustrated Gov. Mark Dayton of Minnesota pledged on Tuesday to veto an education funding bill that would lift state spending on schools by $400 million over the next two years — an increase that Mr. Dayton said was inadequate to serve the needs of Minnesota schoolchildren.,A,19,The New York Times,2015-05-20T00:02:32+0000,article,National,U.S.,NA,News,nyt://article/13cc2dbe-551a-5758-9a0b-7b0ba179120c,352,nyt://article/13cc2dbe-551a-5758-9a0b-7b0ba179120c,A Vow to Veto a Schools Bill in Minnesota,NA,NA,A Vow to Veto a Schools Bill in Minnesota,NA,NA,NA,By Julie Bosman,
"LEAD: Hundreds of university students clashed with the police and burned furniture in two nights of violence that resulted in at least 50 arrests, the police said today.",https://www.nytimes.com/1988/10/17/us/six-are-hurt-in-violence-at-a-minnesota-campus.html,,"Hundreds of university students clashed with the police and burned furniture in two nights of violence that resulted in at least 50 arrests, the police said today.",A,14,The New York Times,1988-10-17T05:00:00+0000,article,National Desk,U.S.,NA,News,nyt://article/e8c190ac-b58e-55b7-8744-12af69e29373,273,nyt://article/e8c190ac-b58e-55b7-8744-12af69e29373,Six Are Hurt in Violence at a Minnesota Campus,NA,NA,Six Are Hurt in Violence at a Minnesota Campus,NA,NA,NA,AP,
