abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,subsection_name,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person
"  This polite but stern Minnesota town could have been drawn from the pages of a Sinclair Lewis novel, the kind of straight-arrow place where children learn early that the Ten Commandments were not meant as mere suggestions.   For conservative Christians, who are backing Allen Quist for the Republican nomination for governor in the primary election on Tuesday, any chance for victory rests on strong support in towns like Albert Lea, 80 miles south of the liberalism and feminist politics of Minneapolis and St. Paul. Mr. Quist, a farmer and former state representative, who was also once a religion teacher, is probably best known in the state for having said that men have a ""genetic predisposition"" to head households.",https://www.nytimes.com/1994/09/12/us/in-minnesota-a-campaign-focuses-on-religion.html,,"This polite but stern Minnesota town could have been drawn from the pages of a Sinclair Lewis novel, the kind of straight-arrow place where children learn early that the Ten Commandments were not meant as mere suggestions.",B,8,The New York Times,1994-09-12T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/4c2ac6c8-569f-52bd-8c2e-74bc992b45b4,946,nyt://article/4c2ac6c8-569f-52bd-8c2e-74bc992b45b4,NA,"In Minnesota, a Campaign Focuses on Religion",NA,NA,"In Minnesota, a Campaign Focuses on Religion",NA,NA,NA,By Dirk Johnson,
"The Trump administration is highlighting the struggles that Minneapolis and St. Paul face with disparities in school discipline, and putting a thumb on the scale.",https://www.nytimes.com/2018/03/18/us/politics/school-discipline-disparities-white-black-students.html,"The Trump administration is highlighting the struggles that Minneapolis and St. Paul face with disparities in school discipline, and putting a thumb on the scale.","MINNEAPOLIS — When Erin Rathke, the principal at Justice Page Middle School, is called to extract a student from class, she hears the same plea over and over again, most often, she has to admit, from black children: “The teacher only sees me.”",A,10,The New York Times,2018-03-18T18:04:06+0000,article,Washington,U.S.,News,nyt://article/9e40d0b3-981e-5d08-956e-f299df1b9c45,1850,nyt://article/9e40d0b3-981e-5d08-956e-f299df1b9c45,Politics,Why Are Black Students Punished So Often? Minnesota Confronts a National Quandary,NA,NA,Minneapolis Schools Look Hard at a Racial Discipline Gap,NA,NA,NA,By Erica L. Green,
Minnesota’s $86 million teacher professionalization and merit pay initiative got a lift when teachers voted overwhelmingly to expand it in Minneapolis.,https://www.nytimes.com/2007/06/18/education/18pay.html,Minnesota’s $86 million teacher professionalization and merit pay initiative got a lift when teachers voted overwhelmingly to expand it in Minneapolis.,"MINNEAPOLIS — For years, the unionized teaching profession opposed few ideas more vehemently than merit pay, but those objections appear to be eroding as school districts in dozens of states experiment with plans that compensate teachers partly based on classroom performance. ",A,1,The New York Times,2007-06-18T04:00:00+0000,article,National,Education,News,nyt://article/8f985f1c-d250-5606-9654-0019ff9b6a4f,1209,nyt://article/8f985f1c-d250-5606-9654-0019ff9b6a4f,NA,"Long Reviled, Merit Pay Gains Among Teachers",NA,NA,"Long Reviled, Merit Pay Gains Among Teachers",NA,NA,NA,By Sam Dillon,
"LEAD: The average salary of classroom teachers will pass the $30,000 mark for the first time this year but the gap in teachers' pay among states is still huge, according to statistics compiled by the National Education Association. The average teacher salary rose to $31,304 for the 1989-90 school year, 5.9 percent higher in current dollars than the previous year's figure of $29,547.",https://www.nytimes.com/1990/05/02/us/education-the-teacher-salaries-gap.html,,"The average salary of classroom teachers will pass the $30,000 mark for the first time this year but the gap in teachers' pay among states is still huge, according to statistics compiled by the National Education Association. The average teacher salary rose to $31,304 for the 1989-90 school year, 5.9 percent higher in current dollars than the previous year's figure of $29,547. Alaska had the highest state salary average with $43,153, while South Dakota showed the lowest at $21,300 -a gap of 104 percent.",B,7,The New York Times,1990-05-02T05:00:00+0000,article,National Desk,U.S.,List,nyt://article/a6b4356d-8300-57f4-9e7e-f93d3c83e043,264,nyt://article/a6b4356d-8300-57f4-9e7e-f93d3c83e043,NA,  The Teacher Salaries Gap,EDUCATION,NA,EDUCATION;   The Teacher Salaries Gap,NA,NA,NA,NA,
"The two most powerful teachers’ unions are putting millions behind Democratic candidates, despite concerns about the administration’s education policy.",https://thecaucus.blogs.nytimes.com/2010/10/06/teachers-make-mark-on-midterms/,"The two most powerful teachers’ unions are putting millions behind Democratic candidates, despite concerns about the administration’s education policy.",The two most powerful teachers’ unions are putting millions behind Democratic candidates around the country even though their members have railed against President Obama’s education policies.,NA,NA,The New York Times,2010-10-07T00:54:25+0000,article,,U.S.,NA,nyt://article/15b62bb3-3015-5bb5-86cb-44cd1b73bca7,304,nyt://article/15b62bb3-3015-5bb5-86cb-44cd1b73bca7,Politics,Teachers Make Mark on Midterms,The Caucus,NA,NA,NA,NA,NA,By Janie Lorber,
"The agreement would resolve a nearly three-week standoff that closed schools for 30,000 students.",https://www.nytimes.com/2022/03/25/us/minneapolis-teachers-strike.html,"The agreement would resolve a nearly three-week standoff that closed schools for 30,000 students.","Educators and school district officials in Minneapolis reached a tentative deal on Friday morning to end a teachers’ strike, resolving a nearly three-week standoff that had shuttered classrooms for about 30,000 public school students.",A,12,The New York Times,2022-03-25T17:06:17+0000,article,National,U.S.,News,nyt://article/ca4cdacb-5671-5d8a-b5d3-17eb398fcf31,790,nyt://article/ca4cdacb-5671-5d8a-b5d3-17eb398fcf31,NA,Minneapolis Teachers Reach a Tentative Deal to End Their Strike,NA,NA,Tentative Deal With Teachers To End Strike In Minneapolis,NA,NA,NA,By Jacey Fortin,
"The governor, a Democrat, is a former member of the National Guard who deployed the force after the killing of George Floyd.",https://www.nytimes.com/2020/05/29/us/tim-walz-minnesota-governor.html,"The governor, a Democrat, is a former member of the National Guard who deployed the force after the killing of George Floyd.","With the eyes of a burning city and rattled nation on him, Gov. Tim Walz of Minnesota tried on Friday to channel the anger of people enraged over the death of George Floyd at the hands of the police.",A,22,The New York Times,2020-05-29T17:17:07+0000,article,National,U.S.,News,nyt://article/e3fa244c-0f5a-545c-abee-a298c06fb45e,893,nyt://article/e3fa244c-0f5a-545c-abee-a298c06fb45e,NA,‘Generations of Pain’: Gov. Tim Walz Appeals for Healing in Minnesota,NA,NA,‘Generations of Pain’: Minnesota Governor Appeals for Healing,NA,NA,NA,By Patricia Mazzei,
"University of Minnesota's governing Board of Regents, after months of protest by faculty members, abandons plan to make it easier to dismiss tenured professors from most of its campuses, but it passes such a measure for law school; controversy reviewed (M)",https://www.nytimes.com/1996/11/17/us/university-of-minnesota-regents-drop-effort-to-modify-tenure.html,"University of Minnesota's governing Board of Regents, after months of protest by faculty members, abandons plan to make it easier to dismiss tenured professors from most of its campuses, but it passes such a measure for law school; controversy rev...","After months of protest by faculty members, the University of Minnesota's governing Board of Regents has abandoned a plan to make it easier to dismiss tenured professors from most of its campuses, but it passed such a measure for the law school.",1,21,The New York Times,1996-11-17T05:00:00+0000,article,National Desk,U.S.,News,nyt://article/782ad170-2e61-5f75-9ca4-d6709fad9d67,548,nyt://article/782ad170-2e61-5f75-9ca4-d6709fad9d67,NA,University of Minnesota Regents Drop Effort to Modify Tenure,NA,NA,University of Minnesota Regents Drop Effort to Modify Tenure,NA,NA,NA,By William H. Honan,
"The stabbing, which happened at Harding High School in St. Paul on Friday, was the first homicide in the city this year, the police said.",https://www.nytimes.com/2023/02/10/us/stabbing-st-paul-harding-high-school.html,"The stabbing, which happened at Harding High School in St. Paul on Friday, was the first homicide in the city this year, the police said.","A 16-year-old student fatally stabbed a 15-year-old boy at a high school in St. Paul, Minn., on Friday morning in the city’s first homicide of the year, the police said.",NA,NA,The New York Times,2023-02-10T22:59:03+0000,article,Express,U.S.,News,nyt://article/ebfa65d7-933c-5d4c-975e-32f55a2a5f45,365,nyt://article/ebfa65d7-933c-5d4c-975e-32f55a2a5f45,NA,"Student Fatally Stabs Another at Minnesota High School, Police Say",NA,NA,NA,NA,NA,NA,By Christopher Mele,
Minnesota’s largest school district has agreed to sweeping changes designed to prevent the harassment of gay students in a plan that federal officials call a national model.,https://www.nytimes.com/2012/03/07/education/minnesota-district-reaches-pact-on-antigay-bullying.html,Minnesota’s largest school district has agreed to sweeping changes designed to prevent the harassment of gay students in a plan that federal officials call a national model.,"After years of accusations that it had failed to stop antigay bullying and a spate of student suicides, Minnesota’s largest school district has agreed to sweeping changes designed to prevent harassment based on sexual orientation in a plan that federal officials call a national model. ",A,11,The New York Times,2012-03-06T18:55:39+0000,article,National,Education,News,nyt://article/94067765-2364-5664-8e1c-4ebf319a2e14,637,nyt://article/94067765-2364-5664-8e1c-4ebf319a2e14,NA,Minnesota School District Reaches Agreement on Preventing Gay Bullying,NA,NA,Minnesota School District Reaches Agreement on Preventing Gay Bullying,NA,NA,NA,By Erik Eckholm,
"The union is asking for smaller class sizes and higher wages, while the school district says its budget is shrinking because of declining enrollment. After negotiations, St. Paul averted a strike.",https://www.nytimes.com/2022/03/07/us/minneapolis-st-paul-teachers-strike.html,"The union is asking for smaller class sizes and higher wages, while the school district says its budget is shrinking because of declining enrollment. After negotiations, St. Paul averted a strike.","Teachers in Minneapolis went on strike Tuesday morning, shuttering classrooms for about 30,000 public school students.",A,14,The New York Times,2022-03-08T01:29:53+0000,article,National,U.S.,News,nyt://article/cd87b64d-3008-59fa-8961-164b0e97b21e,941,nyt://article/cd87b64d-3008-59fa-8961-164b0e97b21e,NA,Minneapolis Teachers Begin Strike After Talks Fail,NA,NA,"Minneapolis Teachers Go on Strike, Closing Schools for 30,000 Students",NA,NA,NA,By Jacey Fortin,
"Unlike in previous recoveries, the number of local public education jobs remains below where it was four years ago.",https://www.nytimes.com/interactive/2013/12/22/us/a-period-with-fewer-teachers.html,"Unlike in previous recoveries, the number of local public education jobs remains below where it was four years ago.","Unlike in previous recoveries, the number of local public education jobs remains below where it was four years ago.",NA,NA,The New York Times,2013-12-22T03:43:51+0000,multimedia,U.S.,U.S.,Interactive Feature,nyt://interactive/4dc98ad4-b9b9-5429-ab66-907308ee23c0,0,nyt://interactive/4dc98ad4-b9b9-5429-ab66-907308ee23c0,NA,A Period With Fewer Teachers,NA,NA,NA,NA,NA,NA,NA,
