ORGID,ORGTYPE,ORGNUMBER,SCHNUMBER,FORMID,GISNAME,MDENAME,ALTNAME,GISADDR,MDEADDR,PUBPRIV,LOCTYPE,GRADERANGE,CLASS,MAGNET,LOCDISTID,LOCDISTNAME,COUNTYCODE,COUNTYNAME,CREATEDT,UPDATEDT,FED_SCHNUM,WEB_URL,YEAR,latitude,longitude
10001000000,01,0001,000,0001-01,Aitkin District Office,Aitkin Public School District,Aitkin,"306 2nd St NW, Aitkin, MN 56431","306 2nd St NW, Aitkin, MN 56431-1289",Public,Head,,,NO,10001000000,Aitkin,27001,Aitkin,2007-08-15,2022-10-24,2702760,http://home.isd1.org/,SY2022-23,46.533931,-93.711544
10001001000,01,0001,001,0001-01-001,Aitkin High,Aitkin Secondary School,NULL,"306 2nd St NW, Aitkin, MN 56431","306 2nd St NW, Aitkin, MN 56431",Public,Member,7-12,33,NO,10001000000,Aitkin,27001,Aitkin,2007-04-13,2022-02-16,270276000057,http://home.isd1.org,SY2022-23,46.533931,-93.711544
10001002000,01,0001,002,0001-01-002,Rippleside Elementary,Rippleside Elementary,NULL,"225 2nd Ave SW, Aitkin, MN 56431","225 2nd Ave SW, Aitkin, MN 56431",Public,Member,EC-6,10,NO,10001000000,Aitkin,27001,Aitkin,2007-04-13,2022-06-02,270276000059,http://home.isd1.org,SY2022-23,46.527453,-93.710523
10001004000,01,0001,004,0001-01-004,Aitkin Children's Center Census,Aitkin Children's Center Census,NULL,"225 2nd Ave SW, Aitkin, MN 56431","225 2nd Ave SW, Aitkin, MN 56431",Public,Member,EC-PK,90,NO,10001000000,Aitkin,27001,Aitkin,2018-10-01,2022-06-02,2702760,,SY2022-23,46.527453,-93.710523
10001006000,01,0001,006,0001-01-006,Aitkin ALP,Aitkin Alternative Learning Program,NULL,"12 7th Ave NW, Aitkin, MN 56431","12 7th St NW, Aitkin, MN 56431",Public,Member,8-12,42,NO,10001000000,Aitkin,27001,Aitkin,2007-10-22,2022-02-16,270276002789,http://www.isd1.org,SY2022-23,46.532052,-93.716945
10001008000,01,0001,008,0001-01-008,Aitkin ESY,Aitkin ESY,NULL,"306 2nd St NW, Aitkin, MN 56431","306 2nd St NW, Aitkin, MN 56431",Public,Member,1-12,51,NO,10001000000,Aitkin,27001,Aitkin,2010-04-15,2022-02-16,2702760,,SY2022-23,46.533931,-93.711544
10001009000,01,0001,009,0001-01-009,Aitkin Early Childhood Family Education,Aitkin Early Childhood Family Education,NULL,"225 2nd Ave SW, Aitkin, MN 56431","225 2nd Ave SW, Aitkin, MN 56431",Public,Member,,84,NO,10001000000,Aitkin,27001,Aitkin,2018-10-01,2022-06-02,2702760,http://www.isd1.org,SY2022-23,46.527453,-93.710523
10001010000,01,0001,010,0001-01-010,Aitkin School Readiness,Aitkin School Readiness,NULL,"225 2nd Ave SW, Aitkin, MN 56431","225 2nd Ave SW, Aitkin, MN 56431",Public,Member,,85,NO,10001000000,Aitkin,27001,Aitkin,2018-10-01,2022-06-02,2702760,http://www.isd1.org,SY2022-23,46.527453,-93.710523
10002000000,01,0002,000,0002-01,Hill City District Office,Hill City Public School District,Hill City,"500 Ione Ave, Hill City, MN 55748","500 Ione Ave, Hill City, MN 55748-9628",Public,Head,,,NO,10002000000,Hill City,27001,Aitkin,2007-08-15,2022-10-24,2714010,https://isd002.org/,SY2022-23,46.992807,-93.604912
10002001000,01,0002,001,0002-01-001,Hill City Elementary,Hill City Elementary,NULL,"500 Ione Ave, Hill City, MN 55748","500 Ione Ave, Hill City, MN 55748",Public,Member,EC-4,10,NO,10002000000,Hill City,27001,Aitkin,2007-04-13,2022-09-19,271401000723,,SY2022-23,46.992807,-93.604912
10002002000,01,0002,002,0002-01-002,Hill City Middle,Hill City Middle School,NULL,"500 Ione Ave, Hill City, MN 55748","500 Ione Ave, Hill City, MN 55748-9628",Public,Member,5-8,20,NO,10002000000,Hill City,27001,Aitkin,2014-02-24,2022-09-19,271401004653,,SY2022-23,46.992807,-93.604912
10002003000,01,0002,003,0002-01-003,Hill City High,Hill City Senior High,NULL,"500 Ione Ave, Hill City, MN 55748","500 Ione Ave, Hill City, MN 55748",Public,Member,9-12,32,NO,10002000000,Hill City,27001,Aitkin,2007-04-13,2022-09-19,271401000724,,SY2022-23,46.992807,-93.604912
10002006000,01,0002,006,0002-01-006,Hill City Pre-School ECFE,Hill City Pre-School ECFE,NULL,"500 Ione Ave, Hill City, MN 55748","500 Ione Ave., Hill City, MN 55748",Public,Member,,84,NO,10002000000,Hill City,27001,Aitkin,2018-10-01,2022-09-19,2714010,http://www.isd002.org,SY2022-23,46.992807,-93.604912
10002007000,01,0002,007,0002-01-007,Hill City Pre-School,Hill City Pre-School,NULL,"500 Ione Ave, Hill City, MN 55748","500 Ione Ave., Hill City, MN 55748",Public,Member,,85,NO,10002000000,Hill City,27001,Aitkin,2018-10-01,2022-09-19,2714010,http://www.isd002.org,SY2022-23,46.992807,-93.604912
10002008000,01,0002,008,0002-01-008,Hill City Early Student School,Hill City Early Student School,NULL,"500 Ione Ave, Hill City, MN 55748","500 Ione Ave., Hill City, MN 55748",Public,Member,,85,NO,10002000000,Hill City,27001,Aitkin,2018-10-01,2022-09-19,2714010,,SY2022-23,46.992807,-93.604912
10004000000,01,0004,000,0004-01,McGregor District Office,McGregor Public School District,McGregor,"148 S 2nd St, McGregor, MN 55760","148 S 2nd St, McGregor, MN 55760-1429",Public,Head,,,NO,10004000000,McGregor,27001,Aitkin,2007-08-15,2022-10-24,2719170,http://www.mcgregor.k12.mn.us/,SY2022-23,46.605684,-93.305184
10004010000,01,0004,010,0004-01-010,McGregor Elementary,McGregor Elementary,NULL,"148 S 2nd St, McGregor, MN 55760","148 S 2nd St, McGregor, MN 55760",Public,Member,EC-6,10,NO,10004000000,McGregor,27001,Aitkin,2007-04-13,2022-09-19,271917000903,http://www.mcgregor.k12.mn.us,SY2022-23,46.605684,-93.305184
10004030000,01,0004,030,0004-01-030,McGregor ALP,McGregor Area Learning Program,NULL,"25 S 2nd St, McGregor, MN 55760","25 S 2nd St, McGregor, MN 55760",Public,Member,8-12,42,NO,10004000000,McGregor,27001,Aitkin,2007-06-21,2022-09-19,271917003432,http://www.mcgregor.k12.mn.us,SY2022-23,46.606401,-93.306025
